municipio,bairro,categoria_macro,quantidade
CARIACICA,ALTO DA BOA VISTA,violencia_social,7
CARIACICA,ANTONIO FERREIRA BORGES,violencia_social,7
CARIACICA,EXPEDITO,violencia_social,7
CARIACICA,SANTA PAULA,patrimonial,7
CARIACICA,SOTEMA,patrimonial,7
CARIACICA,VISTA MAR,violencia_social,7
COLATINA,BAUNILHA,violencia_social,7
COLATINA,LUIZ IGLESIAS,patrimonial,7
COLATINA,MOACYR BROTAS,patrimonial,7
COLATINA,MORADA DO SOL,patrimonial,7
COLATINA,OPERARIO,violencia_social,7
COLATINA,PADRE JOSE DE ANCHIETA,patrimonial,7
COLATINA,SANTOS DUMONT,patrimonial,7
COLATINA,SANTOS DUMONT,violencia_social,7
COLATINA,SAO MARCOS,violencia_social,7
COLATINA,SAO PEDRO,patrimonial,7
CONCEICAO DA BARRA,CENTRO,violencia_social,7
CONCEICAO DA BARRA,ITAUNAS,patrimonial,7
CONCEICAO DO CASTELO,ZONA RURAL,patrimonial,7
CONCEICAO DO CASTELO,ZONA RURAL,violencia_social,7
ECOPORANGA,BENEDITA MONTEIRO,violencia_social,7
ECOPORANGA,CENTRO,violencia_social,7
FUNDAO,ORLY RAMOS,violencia_social,7
GUARAPARI,BALNEARIO MEAIPE,violencia_social,7
GUARAPARI,ITAPEBUSSU,objetos,7
GUARAPARI,OUTRO LOCAL,violencia_social,7
GUARAPARI,PORTAL CLUB,patrimonial,7
GUARAPARI,SETIBA,objetos,7
GUARAPARI,TRES PRAIAS,objetos,7
GUARAPARI,UNA,patrimonial,7
IBATIBA,BOA ESPERANCA,patrimonial,7
IBATIBA,BOA ESPERANCA,violencia_social,7
IBATIBA,NOVO HORIZONTE,violencia_social,7
IBATIBA,OUTRO LOCAL,patrimonial,7
IBATIBA,ZONA RURAL,violencia_social,7
IRUPI,ZONA RURAL,patrimonial,7
ITAPEMIRIM,ROSA MEIRELES,patrimonial,7
IUNA,CENTRO,violencia_social,7
IUNA,PITO,violencia_social,7
IUNA,ZONA RURAL,patrimonial,7
IUNA,ZONA RURAL,violencia_social,7
JAGUARE,IRMA TEREZA ALTOE,patrimonial,7
JAGUARE,SEAC,violencia_social,7
JOAO NEIVA,MONTE LIBANO,violencia_social,7
LARANJA DA TERRA,CENTRO,violencia_social,7
LINHARES,LAGOA DO MEIO,violencia_social,7
LINHARES,LINHARES V,violencia_social,7
LINHARES,NOVO HORIZONTE,violencia_social,7
LINHARES,OUTRO LOCAL,objetos,7
LINHARES,POVOACAO,violencia_social,7
LINHARES,SANTA CRUZ,objetos,7
MARATAIZES,BOA VISTA DO SUL,patrimonial,7
MARATAIZES,CIDADE NOVA,objetos,7
MARATAIZES,LAGOA FUNDA,violencia_social,7
MARATAIZES,OUTRO LOCAL,objetos,7
MARILANDIA,CENTRO,objetos,7
MIMOSO DO SUL,PRATINHA,patrimonial,7
MONTANHA,OUTRO LOCAL,objetos,7
MUNIZ FREIRE,CENTRO,violencia_social,7
MUNIZ FREIRE,PIACU,patrimonial,7
NOVA VENECIA,ALTOE,patrimonial,7
NOVA VENECIA,BELA VISTA,patrimonial,7
NOVA VENECIA,FILOMENA,patrimonial,7
NOVA VENECIA,SAO CRISTOVAO,patrimonial,7
PEDRO CANARIO,CENTRO,violencia_social,7
PINHEIROS,CENTRO,digital,7
PINHEIROS,SANTO ANTONIO,violencia_social,7
PINHEIROS,VILA NOVA,violencia_social,7
PIUMA,PIUMINAS,patrimonial,7
SANTA LEOPOLDINA,BARRA DO MANGARAI,violencia_social,7
SANTA MARIA DE JETIBA,SANTA LUZIA DO RECREIO,violencia_social,7
SANTA MARIA DE JETIBA,SAO LUIS,objetos,7
SANTA TERESA,VILA NOVA,patrimonial,7
SAO GABRIEL DA PALHA,BOA VISTA,violencia_social,7
SAO GABRIEL DA PALHA,CACHOEIRA DA ONCA,patrimonial,7
SAO GABRIEL DA PALHA,JARDIM DE INFANCIA,violencia_social,7
SAO MATEUS,CARAPINA,patrimonial,7
SAO MATEUS,NESTOR GOMES,patrimonial,7
SAO MATEUS,OUTRO LOCAL,objetos,7
SAO MATEUS,SANTO ANTONIO,objetos,7
SAO MATEUS,SERNAMBY,objetos,7
SERRA,BARRO BRANCO,patrimonial,7
SERRA,BELVEDERE,patrimonial,7
SERRA,BOA VISTA II,objetos,7
SERRA,BOA VISTA II,patrimonial,7
SERRA,BOULEVARD LAGOA,patrimonial,7
SERRA,CACAROCA,patrimonial,7
SERRA,CANTINHO DO CEU,violencia_social,7
SERRA,CENTRO DA SERRA,objetos,7
SERRA,CHACARA PARREIRAL,objetos,7
SERRA,LAGOA DE JACARAIPE,objetos,7
SERRA,NOSSA SENHORA DA CONCEICAO,patrimonial,7
SERRA,NOVA ALMEIDA CENTRO,violencia_social,7
SERRA,PORTAL DE JACARAIPE,violencia_social,7
SERRA,RESIDENCIAL CENTRO DA SERRA,violencia_social,7
SERRA,RESIDENCIAL VISTA DO MESTRE,violencia_social,7
SERRA,SAO FRANCISCO,violencia_social,7
SERRA,SAO GERALDO,objetos,7
SERRA,SAO MARCOS I,patrimonial,7
SERRA,SAO PATRICIO,violencia_social,7
SERRA,SERRA DOURADA I,objetos,7
SERRA,SERRA DOURADA II,objetos,7
SERRA,SERRA DOURADA III,violencia_social,7
SERRA,TAQUARA I,objetos,7
SERRA,TAQUARA I,violencia_social,7
SOORETAMA,SAYONARA,violencia_social,7
VARGEM ALTA,CENTRO,violencia_social,7
VIANA,AREINHA,objetos,7
VIANA,ARLINDO ANGELO VILLASCHI,objetos,7
VIANA,BOM PASTOR,violencia_social,7
VIANA,CENTRO,violencia_social,7
VILA VELHA,ARACAS,violencia_social,7
VILA VELHA,BARRA DO JUCU,violencia_social,7
VILA VELHA,JARDIM DO VALE,violencia_social,7
VILA VELHA,NOVA ITAPARICA,objetos,7
VILA VELHA,RESIDENCIAL COQUEIRAL,violencia_social,7
VILA VELHA,SAGRADA FAMILIA,patrimonial,7
VILA VELHA,ULISSES GUIMARAES,objetos,7
VITORIA,CONSOLACAO,objetos,7
VITORIA,MARUIPE,violencia_social,7
VITORIA,MONTE BELO,objetos,7
VITORIA,PONTAL DE CAMBURI,patrimonial,7
VITORIA,SANTA TEREZA,objetos,7
VITORIA,SANTOS DUMONT,objetos,7
VITORIA,SAO BENEDITO,patrimonial,7
AFONSO CLAUDIO,JOAO VALIM,violencia_social,6
AFONSO CLAUDIO,OUTRO LOCAL,violencia_social,6
AGUA DOCE DO NORTE,CRISTO REI,violencia_social,6
ALEGRE,OUTRO LOCAL,patrimonial,6
ALEGRE,RIVE,violencia_social,6
ALTO RIO NOVO,SANTA BARBARA II,violencia_social,6
ARACRUZ,GUANABARA,patrimonial,6
ARACRUZ,GUAXINDIBA,patrimonial,6
ARACRUZ,JACUPEMBA,objetos,6
ARACRUZ,JARDINS,patrimonial,6
ARACRUZ,PRAIA FORMOSA,patrimonial,6
ARACRUZ,SAUACU,patrimonial,6
ARACRUZ,SEGATO,violencia_social,6
ARACRUZ,VILA NOVA,objetos,6
ATILIO VIVACQUA,NITEROI,violencia_social,6
BARRA DE SAO FRANCISCO,BAIRRO COLINA,patrimonial,6
BARRA DE SAO FRANCISCO,BAIRRO NOVA BARRA,objetos,6
BARRA DE SAO FRANCISCO,BAIRRO NOVA BARRA,patrimonial,6
BARRA DE SAO FRANCISCO,ZONA RURAL,violencia_social,6
BOA ESPERANCA,VILA TAVARES,violencia_social,6
BREJETUBA,ZONA RURAL,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,ABELARDO MACHADO,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,BNH,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,CORREGO DOS MONOS,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,IBC,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,ILHA DA LUZ,patrimonial,6
CACHOEIRO DE ITAPEMIRIM,MARBRASA,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,MONTE LIBANO,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,NOVA BRASILIA,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,RUBEM BRAGA,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,SOTURNO,violencia_social,6
CACHOEIRO DE ITAPEMIRIM,VALAO,violencia_social,6
CARIACICA,ALZIRA RAMOS,patrimonial,6
CARIACICA,CAMPO VERDE,objetos,6
CARIACICA,CRUZEIRO DO SUL,violencia_social,6
CARIACICA,ITAPEMIRIM,violencia_social,6
CARIACICA,ITAQUARI,objetos,6
CARIACICA,JARDIM DE ALAH,patrimonial,6
CARIACICA,NOVA CANAA,violencia_social,6
CARIACICA,PRESIDENTE MEDICE,violencia_social,6
CARIACICA,RETIRO SAUDOSO,objetos,6
CARIACICA,RETIRO SAUDOSO,patrimonial,6
CARIACICA,ROSA DA PENHA,objetos,6
CARIACICA,ROSA DA PENHA,violencia_social,6
CARIACICA,SANTA CECILIA,violencia_social,6
CARIACICA,VILA INDEPENDENCIA,violencia_social,6
CARIACICA,VILA MERLO,violencia_social,6
CARIACICA,VILA PRUDENCIO,violencia_social,6
CARIACICA,VISTA DOURADA,objetos,6
CARIACICA,ZONA RURAL,patrimonial,6
CASTELO,ARACUI,violencia_social,6
CASTELO,CENTRO,digital,6
CASTELO,NOSSA SENHORA APARECIDA,patrimonial,6
CASTELO,SANTO ANDREZINHO,violencia_social,6
CASTELO,ZONA RURAL,violencia_social,6
COLATINA,ALTO VILA NOVA,patrimonial,6
COLATINA,COLUMBIA,digital,6
COLATINA,FAZENDA VITALI,patrimonial,6
COLATINA,JOAO MANOEL MENEGUELI,violencia_social,6
COLATINA,MARIA ISMENIA,patrimonial,6
COLATINA,MOACYR BROTAS,violencia_social,6
COLATINA,NOVO HORIZONTE,patrimonial,6
COLATINA,OLIVIO ZANOTELI,violencia_social,6
COLATINA,OUTRO LOCAL,digital,6
COLATINA,PERPETUO SOCORRO,violencia_social,6
COLATINA,SAO JUDAS TADEU,violencia_social,6
COLATINA,SAO PEDRO,violencia_social,6
COLATINA,VILA NOVA,patrimonial,6
CONCEICAO DA BARRA,BRACO DO RIO,violencia_social,6
CONCEICAO DA BARRA,NOVA BETHANIA,violencia_social,6
CONCEICAO DA BARRA,SANTO AMARO,violencia_social,6
CONCEICAO DA BARRA,VILA DOS PESCADORES,patrimonial,6
DOMINGOS MARTINS,GOIABEIRA,violencia_social,6
DOMINGOS MARTINS,ZONA RURAL,patrimonial,6
DORES DO RIO PRETO,PEDRA MENINA,violencia_social,6
ECOPORANGA,CENTRO,patrimonial,6
GOVERNADOR LINDENBERG,NOVA BRASILIA,violencia_social,6
GOVERNADOR LINDENBERG,NOVO BRASIL,patrimonial,6
GUARAPARI,CAMURUGI,patrimonial,6
GUARAPARI,CAMURUGI,violencia_social,6
GUARAPARI,CONDADOS DE GUARAPARI,patrimonial,6
GUARAPARI,JABARAI,violencia_social,6
GUARAPARI,LAMEIRAO,objetos,6
GUARAPARI,PATURA,patrimonial,6
GUARAPARI,SANTA MARGARIDA,violencia_social,6
GUARAPARI,SANTA ROSA,violencia_social,6
IBATIBA,FLORESTA II,patrimonial,6
IBIRACU,SAO CRISTOVAO,patrimonial,6
ICONHA,CENTRO,violencia_social,6
IRUPI,CENTRO,violencia_social,6
IRUPI,OUTRO LOCAL,patrimonial,6
IRUPI,ZONA RURAL,violencia_social,6
ITAGUACU,CENTRO,violencia_social,6
ITAPEMIRIM,CAMPO ACIMA,objetos,6
IUNA,NITEROI,patrimonial,6
JAGUARE,FATIMA,violencia_social,6
JERONIMO MONTEIRO,ZONA RURAL,violencia_social,6
LINHARES,BOA VISTA,patrimonial,6
LINHARES,LINHARES V,patrimonial,6
LINHARES,SAO RAFAEL,patrimonial,6
MARATAIZES,JACARANDA,patrimonial,6
MARECHAL FLORIANO,CENTRO,objetos,6
MARECHAL FLORIANO,SANTA RITA,patrimonial,6
MARECHAL FLORIANO,SUIDO DE BAIXO,patrimonial,6
MARILANDIA,ZONA RURAL,patrimonial,6
MIMOSO DO SUL,FUNIL,patrimonial,6
MIMOSO DO SUL,SAO JOSE DAS TORRES,violencia_social,6
MUQUI,BOA ESPERANCA,violencia_social,6
NOVA VENECIA,CENTRAL,patrimonial,6
NOVA VENECIA,CENTRO,objetos,6
NOVA VENECIA,MARGARETH,violencia_social,6
NOVA VENECIA,SAO FRANCISCO,patrimonial,6
PANCAS,ZONA RURAL,violencia_social,6
PIUMA,MONTE AGHA,violencia_social,6
PIUMA,NOVA ESPERANCA,patrimonial,6
PIUMA,PRAIA DE ACAIACA,violencia_social,6
PRESIDENTE KENNEDY,JAQUEIRA,patrimonial,6
RIO BANANAL,SANTO ANTONIO,patrimonial,6
RIO BANANAL,SANTO ANTONIO,violencia_social,6
SANTA LEOPOLDINA,CENTRO,violencia_social,6
SANTA MARIA DE JETIBA,OUTRO LOCAL,violencia_social,6
SANTA TERESA,CENTENARIO,patrimonial,6
SAO MATEUS,BOA VISTA,violencia_social,6
SAO MATEUS,CENTRO,violencia_social,6
SAO MATEUS,FATIMA,patrimonial,6
SAO MATEUS,FATIMA,violencia_social,6
SAO MATEUS,NESTOR GOMES,violencia_social,6
SAO MATEUS,SANTA MARIA,violencia_social,6
SAO MATEUS,SERNAMBY,violencia_social,6
SAO MATEUS,VILA NOVA,violencia_social,6
SAO MATEUS,VITORIA,violencia_social,6
SAO MATEUS,ZONA RURAL,patrimonial,6
SAO ROQUE DO CANAA,CENTRO,patrimonial,6
SERRA,BAIRRO DE FATIMA,violencia_social,6
SERRA,BOA VISTA I,patrimonial,6
SERRA,CANTINHO DO CEU,patrimonial,6
SERRA,CHACARA PARREIRAL,violencia_social,6
SERRA,CIVIT I,patrimonial,6
SERRA,COLINA DA SERRA,violencia_social,6
SERRA,CONJUNTO CARAPINA I,patrimonial,6
SERRA,CONTINENTAL,patrimonial,6
SERRA,COSTA DOURADA,objetos,6
SERRA,COSTA DOURADA,violencia_social,6
SERRA,ENSEADA DE JACARAIPE,objetos,6
SERRA,JACUHY,objetos,6
SERRA,JACUHY,patrimonial,6
SERRA,JARDIM TROPICAL,digital,6
SERRA,PORTO CANOA,digital,6
SERRA,RESIDENCIAL VISTA DO MESTRE,objetos,6
SERRA,SAO DOMINGOS,patrimonial,6
SERRA,SAO PEDRO,patrimonial,6
SERRA,TERMINAL INTERMODAL DA SERRA (TIMS),objetos,6
SOORETAMA,SAYONARA,patrimonial,6
VENDA NOVA DO IMIGRANTE,TAPERA,patrimonial,6
VENDA NOVA DO IMIGRANTE,VILA DA MATA,patrimonial,6
VIANA,ARLINDO ANGELO VILLASCHI,violencia_social,6
VIANA,MORADA DE VILA BETHANIA,patrimonial,6
VIANA,PARQUE INDUSTRIAL,patrimonial,6
VILA VELHA,CHACARA DO CONDE,patrimonial,6
VILA VELHA,DARLY SANTOS,objetos,6
VILA VELHA,GAROTO,objetos,6
VILA VELHA,ILHA DOS BENTOS,violencia_social,6
VILA VELHA,JARDIM ASTECA,violencia_social,6
VILA VELHA,JARDIM COLORADO,objetos,6
VILA VELHA,JARDIM GUARANHUNS,violencia_social,6
VILA VELHA,JOAO GOULART,objetos,6
VILA VELHA,NOSSA SENHORA DA PENHA,violencia_social,6
VILA VELHA,NOVA PONTA DA FRUTA,patrimonial,6
VILA VELHA,PONTA DA FRUTA,violencia_social,6
VILA VELHA,PRAIA DA COSTA,digital,6
VILA VELHA,TERRA VERMELHA,violencia_social,6
VILA VELHA,ZUMBI DOS PALMARES,objetos,6
VITORIA,ANDORINHAS,objetos,6
VITORIA,ANTONIO HONORIO,patrimonial,6
VITORIA,BARRO VERMELHO,violencia_social,6
VITORIA,BELA VISTA,violencia_social,6
VITORIA,BOA VISTA,patrimonial,6
VITORIA,BONFIM,objetos,6
VITORIA,CARATOIRA,objetos,6
VITORIA,COMDUSA,patrimonial,6
VITORIA,CRUZAMENTO,patrimonial,6
VITORIA,DE LOURDES,objetos,6
VITORIA,GURIGICA,violencia_social,6
VITORIA,ILHA DO PRINCIPE,violencia_social,6
VITORIA,JABOUR,violencia_social,6
VITORIA,JESUS DE NAZARETH,objetos,6
VITORIA,REDENCAO,violencia_social,6
VITORIA,SANTA LUCIA,violencia_social,6
AFONSO CLAUDIO,PIRACEMA,violencia_social,5
AFONSO CLAUDIO,ZONA RURAL,violencia_social,5
AGUIA BRANCA,OUTRO LOCAL,objetos,5
ALEGRE,GUARAREMA,patrimonial,5
ALFREDO CHAVES,CENTRO,violencia_social,5
ALFREDO CHAVES,MACRINA,patrimonial,5
ALFREDO CHAVES,MACRINA,violencia_social,5
ALFREDO CHAVES,OUTRO LOCAL,patrimonial,5
ALFREDO CHAVES,PARQUE RESIDENCIAL ALFREDO CHAVES,patrimonial,5
ALFREDO CHAVES,SANTA TEREZINHA,patrimonial,5
ANCHIETA,JABAQUARA,patrimonial,5
ANCHIETA,OUTRO LOCAL,digital,5
ANCHIETA,PRAIA DE PARATI,patrimonial,5
ANCHIETA,PRAIA DOS CASTELHANOS,patrimonial,5
ARACRUZ,OUTRO LOCAL,objetos,5
ARACRUZ,PRAIA DOS PADRES,patrimonial,5
ARACRUZ,SANTA CRUZ,objetos,5
ARACRUZ,SAO CAMILO,violencia_social,5
ARACRUZ,SAO CLEMENTE,violencia_social,5
BAIXO GUANDU,OPERARIO,patrimonial,5
BAIXO GUANDU,ROSARIO II,patrimonial,5
BAIXO GUANDU,SAO VICENTE,patrimonial,5
BAIXO GUANDU,ZONA RURAL,violencia_social,5
BARRA DE SAO FRANCISCO,BAIRRO CAMPO NOVO,violencia_social,5
BARRA DE SAO FRANCISCO,BAIRRO IRMAOS FERNANDES,objetos,5
BARRA DE SAO FRANCISCO,BAIRRO VILA GONCALVES,patrimonial,5
BARRA DE SAO FRANCISCO,BAIRRO VILA LUCIENE,violencia_social,5
BARRA DE SAO FRANCISCO,MONTE SENIR,patrimonial,5
BOA ESPERANCA,VILA TAVARES,patrimonial,5
BOA ESPERANCA,ZONA RURAL,violencia_social,5
BOM JESUS DO NORTE,CENTRO,violencia_social,5
BREJETUBA,ZONA RURAL,patrimonial,5
CACHOEIRO DE ITAPEMIRIM,ALTO INDEPENDENCIA,patrimonial,5
CACHOEIRO DE ITAPEMIRIM,AMARAL,violencia_social,5
CACHOEIRO DE ITAPEMIRIM,BNH,objetos,5
CACHOEIRO DE ITAPEMIRIM,CAMPO DA LEOPOLDINA,patrimonial,5
CACHOEIRO DE ITAPEMIRIM,CORREGO DOS MONOS,patrimonial,5
CACHOEIRO DE ITAPEMIRIM,COUTINHO,violencia_social,5
CACHOEIRO DE ITAPEMIRIM,GUANDU,violencia_social,5
CACHOEIRO DE ITAPEMIRIM,LUIZ TINOCO FONSECA,patrimonial,5
CACHOEIRO DE ITAPEMIRIM,MONTE BELO,patrimonial,5
CACHOEIRO DE ITAPEMIRIM,OTTON MARINS,violencia_social,5
CACHOEIRO DE ITAPEMIRIM,PARQUE DAS LARANJEIRAS,violencia_social,5
CACHOEIRO DE ITAPEMIRIM,RECANTO,violencia_social,5
CACHOEIRO DE ITAPEMIRIM,SANTA HELENA,patrimonial,5
CACHOEIRO DE ITAPEMIRIM,SAO JOAQUIM,patrimonial,5
CACHOEIRO DE ITAPEMIRIM,SAO LUCAS,violencia_social,5
CACHOEIRO DE ITAPEMIRIM,VALAO,patrimonial,5
CARIACICA,ALICE COUTINHO,patrimonial,5
CARIACICA,ALZIRA RAMOS,objetos,5
CARIACICA,APARECIDA,objetos,5
CARIACICA,BOA SORTE,violencia_social,5
CARIACICA,MORADA DE SANTA FE,digital,5
CARIACICA,NOVA CAMPO GRANDE,patrimonial,5
CARIACICA,NOVA ESPERANCA,objetos,5
CARIACICA,PADRE GABRIEL,objetos,5
CARIACICA,PORTO NOVO,objetos,5
CARIACICA,RETIRO SAUDOSO,violencia_social,5
CARIACICA,RIO MARINHO,objetos,5
CARIACICA,SAO JOAO BATISTA,violencia_social,5
CARIACICA,VASCO DA GAMA,objetos,5
CARIACICA,VASCO DA GAMA,patrimonial,5
CARIACICA,VERA CRUZ,violencia_social,5
CARIACICA,VILA PALESTINA,violencia_social,5
CARIACICA,VISTA DOURADA,violencia_social,5
CARIACICA,VISTA LINDA,patrimonial,5
CASTELO,CASTELO III,violencia_social,5
CASTELO,CENTRO,objetos,5
CASTELO,NOSSA SENHORA APARECIDA,violencia_social,5
CASTELO,SANTO AGOSTINHO,patrimonial,5
CASTELO,SANTO ANDREZINHO,patrimonial,5
CASTELO,VOLTA REDONDA,patrimonial,5
COLATINA,COLATINA VELHA,objetos,5
COLATINA,FIORAVANTE MARINO,patrimonial,5
COLATINA,HONORIO FRAGA,digital,5
COLATINA,JOAO MANOEL MENEGUELI,patrimonial,5
COLATINA,LACE,patrimonial,5
COLATINA,SANTA TEREZINHA,violencia_social,5
COLATINA,SAO JUDAS TADEU,patrimonial,5
COLATINA,SAO SILVANO,digital,5
COLATINA,SAO VICENTE,violencia_social,5
CONCEICAO DA BARRA,GUAXINDIBA,patrimonial,5
CONCEICAO DA BARRA,ZONA RURAL,violencia_social,5
CONCEICAO DO CASTELO,INDAIA,violencia_social,5
DOMINGOS MARTINS,ARACE,patrimonial,5
ECOPORANGA,OUTRO LOCAL,violencia_social,5
FUNDAO,CENTRO,violencia_social,5
FUNDAO,ORLY RAMOS,patrimonial,5
FUNDAO,TIMBUI,violencia_social,5
GUACUI,BAIRRO DO NORTE,violencia_social,5
GUACUI,CENTRO,objetos,5
GUACUI,QUINCAS MACHADO,patrimonial,5
GUACUI,SANTA CECILIA,patrimonial,5
GUACUI,SAO JOSE,patrimonial,5
GUARAPARI,ELZA NADER,patrimonial,5
GUARAPARI,PALMEIRAS,objetos,5
GUARAPARI,PORTAL CLUB,objetos,5
IBATIBA,IPE,violencia_social,5
IBATIBA,VILA NOVA,patrimonial,5
IBATIBA,ZONA RURAL,patrimonial,5
IBIRACU,OUTRO LOCAL,patrimonial,5
IRUPI,ZONA RURAL,objetos,5
ITAGUACU,PALMEIRA,violencia_social,5
ITAPEMIRIM,ITAOCA,objetos,5
IUNA,CENTRO,objetos,5
IUNA,GUANABARA,violencia_social,5
IUNA,PEQUIA,violencia_social,5
IUNA,QUILOMBO,objetos,5
JAGUARE,CENTRO,objetos,5
JOAO NEIVA,CENTRO,objetos,5
JOAO NEIVA,FLORESTA,violencia_social,5
JOAO NEIVA,SANTA LUZIA,objetos,5
JOAO NEIVA,SANTA LUZIA,patrimonial,5
JOAO NEIVA,VILA NOVA DE BAIXO,violencia_social,5
LARANJA DA TERRA,ZONA RURAL,violencia_social,5
LINHARES,BNH,violencia_social,5
LINHARES,NOSSA SENHORA DA CONCEICAO,objetos,5
LINHARES,TRES BARRAS,violencia_social,5
MANTENOPOLIS,BELA VISTA,violencia_social,5
MARATAIZES,BELVEDERE,patrimonial,5
MARATAIZES,LAGOA DO SIRI,patrimonial,5
MARATAIZES,PONTAL DA BARRA,violencia_social,5
MARECHAL FLORIANO,ARAGUAIA,violencia_social,5
MARECHAL FLORIANO,SANTA RITA,violencia_social,5
MARECHAL FLORIANO,VICTOR HUGO,patrimonial,5
MARILANDIA,INDUSTRIAL,violencia_social,5
MARILANDIA,ZONA RURAL,violencia_social,5
MIMOSO DO SUL,CENTRO,objetos,5
MIMOSO DO SUL,CENTRO,violencia_social,5
MONTANHA,FUNDAO,violencia_social,5
MONTANHA,LAJEDO,violencia_social,5
MONTANHA,ZONA RURAL,patrimonial,5
MUCURICI,ITABAIANA,patrimonial,5
MUNIZ FREIRE,PIACU,violencia_social,5
MUQUI,CENTRO,violencia_social,5
NOVA VENECIA,FILOMENA,violencia_social,5
NOVA VENECIA,IOLANDA,patrimonial,5
NOVA VENECIA,OUTRO LOCAL,objetos,5
PANCAS,NILTON SA,patrimonial,5
PANCAS,OUTRO LOCAL,patrimonial,5
PANCAS,VILA VERDE,patrimonial,5
PEDRO CANARIO,BOA VISTA,violencia_social,5
PEDRO CANARIO,CANARINHA,violencia_social,5
PEDRO CANARIO,CRISTAL DO NORTE,patrimonial,5
PINHEIROS,PINHEIRINHO,patrimonial,5
PINHEIROS,ZONA RURAL,violencia_social,5
PIUMA,CEU AZUL,violencia_social,5
PIUMA,JARDIM MAILY,objetos,5
PIUMA,JARDIM MAILY,violencia_social,5
PIUMA,PORTINHO,patrimonial,5
PIUMA,PORTINHO,violencia_social,5
PRESIDENTE KENNEDY,OUTRO LOCAL,patrimonial,5
PRESIDENTE KENNEDY,ZONA RURAL,patrimonial,5
RIO NOVO DO SUL,OUTRO LOCAL,patrimonial,5
SANTA MARIA DE JETIBA,RIO POSS MOUSER,violencia_social,5
SANTA TERESA,VARZEA ALEGRE,patrimonial,5
SAO DOMINGOS DO NORTE,ZONA RURAL,objetos,5
SAO GABRIEL DA PALHA,SANTA CECILIA,violencia_social,5
SAO GABRIEL DA PALHA,SAO SEBASTIAO,patrimonial,5
SAO GABRIEL DA PALHA,SAO SEBASTIAO,violencia_social,5
SAO JOSE DO CALCADO,JOAO MARCELINO DE FREITAS,violencia_social,5
SAO MATEUS,AVIACAO,patrimonial,5
SAO MATEUS,BOM SUCESSO,patrimonial,5
SAO MATEUS,FATIMA,objetos,5
SAO MATEUS,LIBERDADE,violencia_social,5
SAO MATEUS,MORADA DO RIBEIRAO,violencia_social,5
SERRA,BICANGA,violencia_social,5
SERRA,BOA VISTA I,objetos,5
SERRA,CARAPINA I,objetos,5
SERRA,CIVIT I,objetos,5
SERRA,COLINA DA SERRA,patrimonial,5
SERRA,DIAMANTINA,patrimonial,5
SERRA,ELDORADO,objetos,5
SERRA,ESTANCIA MONAZITICA,digital,5
SERRA,ESTANCIA MONAZITICA,violencia_social,5
SERRA,GUARACIABA,patrimonial,5
SERRA,JARDIM BELA VISTA,violencia_social,5
SERRA,JARDIM CARAPINA,digital,5
SERRA,LAGOA DE JACARAIPE,violencia_social,5
SERRA,MATA DA SERRA,objetos,5
SERRA,MATA DA SERRA,violencia_social,5
SERRA,NOVA CARAPINA I,digital,5
SERRA,NOVA CARAPINA II,objetos,5
SERRA,PARQUE RESIDENCIAL TUBARAO,objetos,5
SERRA,PORTO CANOA,violencia_social,5
SERRA,PRAIA DE CAPUBA,objetos,5
SERRA,PRAIAMAR,objetos,5
SERRA,PRAIAMAR,patrimonial,5
SERRA,RESIDENCIAL CENTRO DA SERRA,objetos,5
SERRA,SAO DIOGO I,violencia_social,5
SERRA,SAO DIOGO II,objetos,5
SERRA,SAO GERALDO,violencia_social,5
SERRA,SAO JUDAS TADEU,patrimonial,5
SERRA,SAO LOURENCO,patrimonial,5
SERRA,SAO MARCOS II,violencia_social,5
SERRA,SERRA DOURADA I,digital,5
SERRA,SOLAR DE ANCHIETA,violencia_social,5
SERRA,VISTA DA SERRA II,violencia_social,5
VARGEM ALTA,CASTELINHO,patrimonial,5
VARGEM ALTA,JACIGUA,violencia_social,5
VENDA NOVA DO IMIGRANTE,SAO JOSE DO ALTO VICOSA,patrimonial,5
VIANA,PRIMAVERA,violencia_social,5
VILA PAVAO,CENTRO,violencia_social,5
VILA VELHA,BALNEARIO PONTA DA FRUTA,violencia_social,5
VILA VELHA,BOA VISTA II,violencia_social,5
VILA VELHA,DARLY SANTOS,violencia_social,5
VILA VELHA,GUARANHUNS,violencia_social,5
VILA VELHA,ILHA DA CONCEICAO,objetos,5
VILA VELHA,ILHA DOS AYRES,violencia_social,5
VILA VELHA,MORADA DA BARRA,objetos,5
VILA VELHA,OLARIA,objetos,5
VILA VELHA,PRAIA DAS GAIVOTAS,violencia_social,5
VILA VELHA,VILA BATISTA,objetos,5
VILA VELHA,VILA BATISTA,violencia_social,5
VILA VELHA,VILA GUARANHUNS,patrimonial,5
VILA VELHA,VINTE E TRES DE MAIO,patrimonial,5
