data_fato,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,periodo_dia,fim_de_semana
2025-03-06,2025.0,3.0,MAR,2025-03-01,3.0,QUI,MANHA,False
2025-03-06,2025.0,3.0,MAR,2025-03-01,3.0,QUI,TARDE,False
2025-03-06,2025.0,3.0,MAR,2025-03-01,3.0,QUI,NOITE,False
2025-03-07,2025.0,3.0,MAR,2025-03-01,4.0,SEX,TARDE,False
2025-03-07,2025.0,3.0,MAR,2025-03-01,4.0,SEX,MANHA,False
2025-03-07,2025.0,3.0,MAR,2025-03-01,4.0,SEX,,False
2025-03-08,2025.0,3.0,MAR,2025-03-01,5.0,SAB,TARDE,True
2025-03-09,2025.0,3.0,MAR,2025-03-01,6.0,DOM,MANHA,True
2025-03-09,2025.0,3.0,MAR,2025-03-01,6.0,DOM,TARDE,True
2025-03-10,2025.0,3.0,MAR,2025-03-01,0.0,SEG,MANHA,False
2025-03-10,2025.0,3.0,MAR,2025-03-01,0.0,SEG,TARDE,False
2025-03-10,2025.0,3.0,MAR,2025-03-01,0.0,SEG,,False
2025-03-10,2025.0,3.0,MAR,2025-03-01,0.0,SEG,NOITE,False
2025-03-11,2025.0,3.0,MAR,2025-03-01,1.0,TER,TARDE,False
2025-03-11,2025.0,3.0,MAR,2025-03-01,1.0,TER,NOITE,False
2025-03-11,2025.0,3.0,MAR,2025-03-01,1.0,TER,MADRUGADA,False
2025-03-11,2025.0,3.0,MAR,2025-03-01,1.0,TER,,False
2025-03-12,2025.0,3.0,MAR,2025-03-01,2.0,QUA,,False
2025-03-12,2025.0,3.0,MAR,2025-03-01,2.0,QUA,MANHA,False
2025-04-01,2025.0,4.0,ABR,2025-04-01,1.0,TER,MANHA,False
2025-04-01,2025.0,4.0,ABR,2025-04-01,1.0,TER,,False
2025-04-01,2025.0,4.0,ABR,2025-04-01,1.0,TER,TARDE,False
2025-04-01,2025.0,4.0,ABR,2025-04-01,1.0,TER,NOITE,False
2025-04-02,2025.0,4.0,ABR,2025-04-01,2.0,QUA,TARDE,False
2025-04-02,2025.0,4.0,ABR,2025-04-01,2.0,QUA,,False
2025-04-02,2025.0,4.0,ABR,2025-04-01,2.0,QUA,NOITE,False
2025-04-02,2025.0,4.0,ABR,2025-04-01,2.0,QUA,MANHA,False
2025-04-03,2025.0,4.0,ABR,2025-04-01,3.0,QUI,MANHA,False
2025-04-03,2025.0,4.0,ABR,2025-04-01,3.0,QUI,,False
2025-04-03,2025.0,4.0,ABR,2025-04-01,3.0,QUI,TARDE,False
2025-04-03,2025.0,4.0,ABR,2025-04-01,3.0,QUI,MADRUGADA,False
2025-04-04,2025.0,4.0,ABR,2025-04-01,4.0,SEX,,False
2025-04-04,2025.0,4.0,ABR,2025-04-01,4.0,SEX,MANHA,False
2025-04-04,2025.0,4.0,ABR,2025-04-01,4.0,SEX,TARDE,False
2025-04-04,2025.0,4.0,ABR,2025-04-01,4.0,SEX,NOITE,False
2025-04-05,2025.0,4.0,ABR,2025-04-01,5.0,SAB,TARDE,True
2025-04-05,2025.0,4.0,ABR,2025-04-01,5.0,SAB,NOITE,True
2025-04-05,2025.0,4.0,ABR,2025-04-01,5.0,SAB,MANHA,True
2025-04-06,2025.0,4.0,ABR,2025-04-01,6.0,DOM,,True
2025-04-06,2025.0,4.0,ABR,2025-04-01,6.0,DOM,NOITE,True
2025-04-06,2025.0,4.0,ABR,2025-04-01,6.0,DOM,TARDE,True
2025-04-07,2025.0,4.0,ABR,2025-04-01,0.0,SEG,,False
2025-04-07,2025.0,4.0,ABR,2025-04-01,0.0,SEG,TARDE,False
2025-04-07,2025.0,4.0,ABR,2025-04-01,0.0,SEG,NOITE,False
2025-04-07,2025.0,4.0,ABR,2025-04-01,0.0,SEG,MANHA,False
2025-04-08,2025.0,4.0,ABR,2025-04-01,1.0,TER,MADRUGADA,False
2025-04-08,2025.0,4.0,ABR,2025-04-01,1.0,TER,MANHA,False
2025-04-08,2025.0,4.0,ABR,2025-04-01,1.0,TER,TARDE,False
2025-04-08,2025.0,4.0,ABR,2025-04-01,1.0,TER,NOITE,False
2025-04-08,2025.0,4.0,ABR,2025-04-01,1.0,TER,,False
2025-04-09,2025.0,4.0,ABR,2025-04-01,2.0,QUA,NOITE,False
2025-04-09,2025.0,4.0,ABR,2025-04-01,2.0,QUA,,False
2025-04-09,2025.0,4.0,ABR,2025-04-01,2.0,QUA,TARDE,False
2025-04-10,2025.0,4.0,ABR,2025-04-01,3.0,QUI,,False
2025-04-10,2025.0,4.0,ABR,2025-04-01,3.0,QUI,TARDE,False
2025-04-10,2025.0,4.0,ABR,2025-04-01,3.0,QUI,MANHA,False
2025-04-10,2025.0,4.0,ABR,2025-04-01,3.0,QUI,MADRUGADA,False
2025-04-11,2025.0,4.0,ABR,2025-04-01,4.0,SEX,TARDE,False
2025-04-11,2025.0,4.0,ABR,2025-04-01,4.0,SEX,MANHA,False
2025-04-11,2025.0,4.0,ABR,2025-04-01,4.0,SEX,NOITE,False
2025-04-12,2025.0,4.0,ABR,2025-04-01,5.0,SAB,MADRUGADA,True
2025-04-12,2025.0,4.0,ABR,2025-04-01,5.0,SAB,NOITE,True
2025-05-01,2025.0,5.0,MAI,2025-05-01,3.0,QUI,NOITE,False
2025-05-01,2025.0,5.0,MAI,2025-05-01,3.0,QUI,,False
2025-05-02,2025.0,5.0,MAI,2025-05-01,4.0,SEX,,False
2025-05-02,2025.0,5.0,MAI,2025-05-01,4.0,SEX,TARDE,False
2025-05-02,2025.0,5.0,MAI,2025-05-01,4.0,SEX,MANHA,False
2025-05-03,2025.0,5.0,MAI,2025-05-01,5.0,SAB,MADRUGADA,True
2025-05-03,2025.0,5.0,MAI,2025-05-01,5.0,SAB,TARDE,True
