data_fato,hora_fato,grupo_incidente,tipo_incidente,uf,municipio,bairro,tipo_local,fonte_dados,categoria_macro,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,hora_num,periodo_dia
2025-02-06,16:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,COLINA DE LARANJEIRAS,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,16.0,TARDE
2025-02-06,12:50:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,VILA BATISTA,ESCOLA,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,12.0,TARDE
2025-02-06,17:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,ALECRIM,OUTRO LOCAL,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,17.0,TARDE
2025-02-06,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,ITAPOA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,10.0,MANHA
2025-02-06,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ICONHA,CENTRO,OUTRO LOCAL,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,10.0,MANHA
2025-02-06,16:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,OUTRO LOCAL,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,16.0,TARDE
2025-02-07,11:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,4.0,SEX,False,11.0,MANHA
2025-02-07,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,PRAIA DO CANTO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,4.0,SEX,False,,
2025-02-07,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,PINHEIROS,CENTRO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,4.0,SEX,False,,
2025-02-07,11:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,VASCO DA GAMA,OUTRO LOCAL,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,4.0,SEX,False,11.0,MANHA
2025-02-07,11:50:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,BICANGA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,4.0,SEX,False,11.0,MANHA
2025-02-07,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,COQUEIRAL DE ITAPARICA,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,4.0,SEX,False,,
2025-02-08,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ARACRUZ,COQUEIRAL,RESIDÊNCIA,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,5.0,SAB,True,10.0,MANHA
2025-02-08,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,FONTE GRANDE,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,5.0,SAB,True,,
2025-02-08,15:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,RESIDÊNCIA,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,5.0,SAB,True,15.0,TARDE
2025-02-08,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,ITARARE,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,5.0,SAB,True,,
2025-02-08,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,5.0,SAB,True,,
2025-02-09,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,MARUIPE,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,,
2025-02-09,17:29:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,ANCHIETA,ZONA RURAL,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,17.0,TARDE
2025-02-09,02:16:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SANTA TERESA,DOIS PINHEIROS,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,2.0,MADRUGADA
2025-02-09,21:04:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,MONTANHA,CENTRO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,21.0,NOITE
2025-02-09,07:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VILA VELHA,OUTRO LOCAL,OUTRO LOCAL,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,7.0,MANHA
2025-02-10,11:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,SANTO ANTONIO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,0.0,SEG,False,11.0,MANHA
2025-02-10,19:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,PANCAS,CENTRO,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,0.0,SEG,False,19.0,NOITE
2025-02-10,15:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,PANCAS,LIRIO DOS VALES,AMBIENTE WEB,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,0.0,SEG,False,15.0,TARDE
2025-02-10,08:50:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,RESIDÊNCIA,crimes_informaticos,digital,2025.0,2.0,FEV,2025-02-01,0.0,SEG,False,8.0,MANHA
