uf,municipio,bairro,categoria_macro
ES,AFONSO CLAUDIO,CENTRO,digital
ES,ANCHIETA,PRAIA DE GUANABARA,digital
ES,SERRA,NOVO HORIZONTE,digital
ES,VITORIA,SAO JOSE,digital
ES,MANTENOPOLIS,SOL NASCENTE,digital
ES,COLATINA,NOSSA SENHORA APARECIDA,digital
ES,SERRA,VISTA DA SERRA II,digital
ES,COLATINA,FAZENDA VITALI,digital
ES,ARACRUZ,JACUPEMBA,digital
ES,GOVERNADOR LINDENBERG,CENTRO,digital
ES,SANTA TERESA,CENTRO,digital
ES,PANCAS,VILA VERDE,digital
ES,SAO MATEUS,ARNALDO BASTOS,digital
ES,SANTA TERESA,SAO JOAO DE PETROPOLIS,digital
ES,GUARAPARI,ADALBERTO SIMAO NADER,digital
ES,COLATINA,JARDIM PLANALTO,digital
ES,CACHOEIRO DE ITAPEMIRIM,GUANDU,digital
ES,SERRA,ALTEROSAS,digital
ES,PINHEIROS,GALILEIA,digital
ES,PINHEIROS,SANTO ANTONIO,digital
ES,SANTA TERESA,SANTO ANTONIO DO CANAA,digital
ES,SAO ROQUE DO CANAA,BAIRRO_NAO_INFORMADO,digital
ES,VILA VELHA,ZONA NAO IDENTIFICADA I,digital
ES,CASTELO,ESPLANADA,digital
ES,VENDA NOVA DO IMIGRANTE,SAO PEDRO,digital
ES,CONCEICAO DA BARRA,ANTONIO LOPEZ,digital
ES,SERRA,ROSARIO DE FATIMA,digital
ES,ANCHIETA,IRIRI,digital
ES,VARGEM ALTA,CASTELINHO,digital
ES,COLATINA,VILA REAL,digital
ES,VILA VELHA,PLANALTO,digital
ES,MANTENOPOLIS,BAIRRO_NAO_INFORMADO,digital
ES,LINHARES,AVISO,digital
ES,GUARAPARI,CENTRO,digital
ES,SANTA MARIA DE JETIBA,RIO POSS MOUSER,digital
ES,GUARAPARI,SANTA MARGARIDA,digital
ES,CASTELO,NITEROI,digital
ES,VITORIA,VILA RUBIM,digital
ES,VIANA,NOVA BETHANIA,digital
ES,SERRA,PLANICIE DA SERRA,digital
ES,ARACRUZ,CENTRO,digital
ES,GUARAPARI,RECANTO DA SEREIA,digital
ES,GUARAPARI,BAIRRO_NAO_INFORMADO,digital
ES,COLATINA,MARISTA,digital
ES,VIANA,CAXIAS DO SUL,digital
ES,ARACRUZ,GUARANA,digital
ES,VILA VELHA,ILHA DOS AYRES,digital
ES,CACHOEIRO DE ITAPEMIRIM,AEROPORTO,digital
ES,ICONHA,DUAS BARRAS,digital
ES,SERRA,CENTRO DA SERRA,digital
ES,VILA VELHA,SOTECO,digital
ES,VITORIA,ILHA DAS CAIEIRAS,digital
ES,GUARAPARI,AEROPORTO,digital
ES,SANTA TERESA,SAO LOURENCO,digital
ES,CARIACICA,VILA PALESTINA,digital
ES,SANTA MARIA DE JETIBA,CARAMURU II,digital
ES,PEDRO CANARIO,CENTRO,digital
ES,SERRA,SAO DOMINGOS,digital
ES,COLATINA,NOSSA SENHORA DA PENHA,digital
ES,CONCEICAO DA BARRA,CHACARA DO ATLANTICO,digital
ES,PIUMA,MONTE AGHA,digital
ES,COLATINA,MOACYR BROTAS,digital
ES,ARACRUZ,SANTA CRUZ,digital
ES,CARIACICA,VISTA MAR,digital
ES,AGUIA BRANCA,APARECIDA,digital
ES,ANCHIETA,DOIS IRMAOS DO CORINDIBA,digital
ES,COLATINA,BAUNILHA,digital
ES,CASTELO,SANTA BARBARA,digital
ES,ARACRUZ,SAO MARCOS,digital
ES,SERRA,CIVIT II,digital
ES,ARACRUZ,JEQUITIBA,digital
ES,COLATINA,OPERARIO,digital
ES,CASTELO,POUSO ALTO,digital
ES,COLATINA,VISTA DA SERRA,digital
ES,ICONHA,ILHA DO COCO,digital
ES,ANCHIETA,PORTO DE CIMA,digital
ES,SAO MATEUS,AYRTON SENNA,digital
ES,SERRA,MARIA NIOBE,digital
ES,GUARAPARI,AMARELO,digital
ES,SERRA,CAMARA,digital
ES,COLATINA,VICENTE SOELA,digital
ES,CACHOEIRO DE ITAPEMIRIM,CONDURU,digital
ES,PINHEIROS,SANTO ANTONIO II,digital
ES,ICONHA,MORADA DO SOL,digital
ES,ARACRUZ,IRAJA,digital
ES,PINHEIROS,COLINA,digital
ES,ARACRUZ,PLANALTO,digital
ES,PINHEIROS,DOMICIANO,digital
ES,ARACRUZ,CUPIDO,digital
ES,MUCURICI,CENTRO,digital
ES,CACHOEIRO DE ITAPEMIRIM,NOSSA SENHORA DE FATIMA,digital
ES,VITORIA,DE LOURDES,digital
ES,CONCEICAO DO CASTELO,CENTRO,digital
ES,VILA VELHA,DIVINO ESPIRITO SANTO,digital
ES,SERRA,SANTO ANTONIO,digital
ES,SERRA,NOVO PORTO CANOA,digital
ES,VENDA NOVA DO IMIGRANTE,BAIRRO_NAO_INFORMADO,digital
ES,ICONHA,JARDIM JANDYRA,digital
ES,SERRA,SERRA DOURADA II,digital
ES,ANCHIETA,OLIVEIRA,digital
ES,CASTELO,FAZENDA DO CENTRO,digital
ES,ARACRUZ,FATIMA,digital
ES,VILA VELHA,NOVA AMERICA,digital
ES,COLATINA,POR DO SOL,digital
ES,VILA VELHA,JOCKEY DE ITAPARICA,digital
ES,PANCAS,BAIRRO_NAO_INFORMADO,digital
ES,SAO ROQUE DO CANAA,SAO ROQUINHO,digital
ES,SERRA,NOVA ALMEIDA CENTRO,digital
ES,BARRA DE SAO FRANCISCO,BAIRRO CAMPO NOVO,digital
ES,SERRA,TAQUARA II,digital
ES,PINHEIROS,SAO JOAO DO SOBRADO,digital
ES,CARIACICA,RIO BRANCO,digital
ES,CASTELO,CASTELO III,digital
ES,VILA VELHA,JARDIM COLORADO,digital
ES,VILA PAVAO,BAIRRO_NAO_INFORMADO,digital
ES,ECOPORANGA,CENTRO,digital
ES,COLATINA,ITAPINA,digital
ES,VITORIA,ANTONIO HONORIO,digital
ES,JOAO NEIVA,BAIRRO_NAO_INFORMADO,digital
ES,SERRA,BOULEVARD LAGOA,digital
ES,LINHARES,BAIRRO_NAO_INFORMADO,digital
ES,ECOPORANGA,BAIRRO_NAO_INFORMADO,digital
ES,VITORIA,CONSOLACAO,digital
ES,SERRA,CENTRAL CARAPINA,digital
ES,CONCEICAO DA BARRA,FLORESTA,digital
ES,PINHEIROS,VILA VERDE,digital
ES,VARGEM ALTA,CENTRO,digital
ES,VILA VELHA,COCAL,digital
ES,PEDRO CANARIO,NOVO HORIZONTE,digital
ES,SAO ROQUE DO CANAA,VILA ESPANHOLA,digital
ES,ALFREDO CHAVES,ARAPONGA,digital
ES,ANCHIETA,JOAO XXIII,digital
ES,VILA VELHA,GLORIA,digital
ES,COLATINA,LUIZ IGLESIAS,digital
ES,VITORIA,UNIVERSITARIO,digital
ES,COLATINA,CORREGO CHAPEU,digital
ES,ITAPEMIRIM,ITAOCA,digital
ES,SANTA MARIA DE JETIBA,GARRAFAO,digital
ES,SERRA,ESTANCIA MONAZITICA,digital
ES,COLATINA,BELA VISTA,digital
ES,ANCHIETA,MAIMBA,digital
ES,VITORIA,GURIGICA,digital
ES,AFONSO CLAUDIO,BAIRRO_NAO_INFORMADO,digital
ES,CARIACICA,CAMPO VERDE,digital
ES,SANTA MARIA DE JETIBA,SAO LUIS,digital
ES,ANCHIETA,BAIXO PONGAL,digital
ES,SERRA,CARAPINA GRANDE,digital
ES,VITORIA,ROMAO,digital
ES,ARACRUZ,ITAPUTERA,digital
ES,VITORIA,MARIO CYPRESTE,digital
ES,SANTA MARIA DE JETIBA,CENTRO,digital
ES,ICONHA,BOM DESTINO,digital
ES,NOVA VENECIA,CENTRO,digital
