data_fato,hora_fato,grupo_incidente,tipo_incidente,uf,idade,genero,cor,municipio,bairro,tipo_local,fonte_dados,categoria_macro,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,hora_num,periodo_dia,faixa_etaria
2025-02-03,21:59,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,33.0,1 - MASCULINO,PARDA,VITORIA,SANTO ANTONIO,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,0.0,SEG,False,21,NOITE,25_34
2025-02-03,21:59,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,29.0,2 - FEMININO,NEGRA,VITORIA,SANTO ANTONIO,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,0.0,SEG,False,21,NOITE,25_34
2025-02-04,18:06,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,43.0,1 - MASCULINO,BRANCA,COLATINA,AYRTON SENNA,PRAÇA / PARQUES / ÁREA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,1.0,TER,False,18,NOITE,35_44
2025-02-04,17:13,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,34.0,1 - MASCULINO,PARDA,VIANA,MARCILIO DE NORONHA,DOMICÍLIO,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,1.0,TER,False,17,TARDE,25_34
2025-02-04,07:16,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,,1 - MASCULINO,BRANCA,VARGEM ALTA,SUMIDOURO,TERRENO BALDIO / CONSTRUÇÃO / MATA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,1.0,TER,False,7,MANHA,
2025-02-05,21:14,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,3.0,1 - MASCULINO,PARDA,CARIACICA,ORIENTE,DOMICÍLIO,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,2.0,QUA,False,21,NOITE,0_14
2025-02-05,19:19,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,31.0,1 - MASCULINO,PARDA,VILA VELHA,COBI DE CIMA,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,2.0,QUA,False,19,NOITE,25_34
2025-02-05,10:24,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,35.0,1 - MASCULINO,BRANCA,SERRA,VISTA DA SERRA II,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,2.0,QUA,False,10,MANHA,35_44
2025-02-05,02:06,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,,1 - MASCULINO,,SAO MATEUS,CENTRO,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,2.0,QUA,False,2,MADRUGADA,
2025-02-06,07:49,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,,2 - FEMININO,PARDA,SAO MATEUS,GURIRI,TERRENO BALDIO / CONSTRUÇÃO / MATA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,7,MANHA,
2025-02-06,06:16,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,21.0,1 - MASCULINO,BRANCA,IBIRACU,ELIAS BRAGATO,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,6,MANHA,18_24
2025-02-06,03:44,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,48.0,1 - MASCULINO,PARDA,CARIACICA,NOVO BRASIL,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,3,MADRUGADA,45_54
2025-02-06,03:16,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,33.0,1 - MASCULINO,AMARELA,PIUMA,CENTRO,OUTROS LOCAIS,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,3.0,QUI,False,3,MADRUGADA,25_34
2025-02-08,20:56,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,32.0,1 - MASCULINO,NEGRA,NOVA VENECIA,ZONA RURAL,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,5.0,SAB,True,20,NOITE,25_34
2025-02-09,21:53,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,20.0,1 - MASCULINO,PARDA,VILA VELHA,ILHA DOS AYRES,DOMICÍLIO,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,21,NOITE,18_24
2025-02-09,20:55,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,31.0,1 - MASCULINO,PARDA,CARIACICA,NOVA ROSA DA PENHA II,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,20,NOITE,25_34
2025-02-09,07:22,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,43.0,1 - MASCULINO,BRANCA,CACHOEIRO DE ITAPEMIRIM,SANTO ANTONIO,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,6.0,DOM,True,7,MANHA,35_44
2025-02-10,07:50,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,29.0,1 - MASCULINO,PARDA,SERRA,RESIDENCIAL CENTRO DA SERRA,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,0.0,SEG,False,7,MANHA,25_34
2025-02-10,06:31,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,49.0,1 - MASCULINO,PARDA,SERRA,CIDADE POMAR,TERRENO BALDIO / CONSTRUÇÃO / MATA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,0.0,SEG,False,6,MANHA,45_54
2025-02-10,01:45,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,36.0,2 - FEMININO,PARDA,GOVERNADOR LINDENBERG,NOVO BASIL,DOMICÍLIO,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,0.0,SEG,False,1,MADRUGADA,35_44
2025-02-11,10:23,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,25.0,1 - MASCULINO,PARDA,SERRA,PRAIA DE CARAPEBUS,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,1.0,TER,False,10,MANHA,25_34
2025-02-12,21:36,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,25.0,1 - MASCULINO,PARDA,ANCHIETA,JERUSALEM,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,2.0,QUA,False,21,NOITE,25_34
2025-02-12,17:40,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,38.0,1 - MASCULINO,NEGRA,CARIACICA,CAMPINA GRANDE,VIA PÚBLICA,homicidios,violencia_social,2025.0,2.0,FEV,2025-02-01,2.0,QUA,False,17,TARDE,35_44
2025-03-01,16:42,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,77.0,2 - FEMININO,BRANCA,VILA VELHA,ITAPOA,DOMICÍLIO,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,5.0,SAB,True,16,TARDE,65_PLUS
2025-03-01,06:33,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,18.0,1 - MASCULINO,NEGRA,VILA VELHA,COBI DE BAIXO,TERRENO BALDIO / CONSTRUÇÃO / MATA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,5.0,SAB,True,6,MANHA,18_24
2025-03-02,20:47,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,,1 - MASCULINO,PARDA,SOORETAMA,SALVADOR,VIA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,6.0,DOM,True,20,NOITE,
2025-03-02,10:56,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,18.0,1 - MASCULINO,PARDA,CARIACICA,NOVA ROSA DA PENHA,DOMICÍLIO,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,6.0,DOM,True,10,MANHA,18_24
2025-03-02,07:55,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,19.0,1 - MASCULINO,BRANCA,AFONSO CLAUDIO,SAO FRANCISCO,DOMICÍLIO,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,6.0,DOM,True,7,MANHA,18_24
2025-03-03,09:54,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,16.0,1 - MASCULINO,PARDA,SAO MATEUS,GURIRI,TERRENO BALDIO / CONSTRUÇÃO / MATA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,0.0,SEG,False,9,MANHA,15_17
2025-03-04,07:12,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,22.0,1 - MASCULINO,PARDA,VILA VELHA,SAO TORQUATO,VIA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,1.0,TER,False,7,MANHA,18_24
2025-03-04,00:10,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,19.0,1 - MASCULINO,PARDA,VITORIA,MARIO CYPRESTE,PRAÇA / PARQUES / ÁREA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,1.0,TER,False,0,MADRUGADA,18_24
2025-03-07,22:25,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,22.0,1 - MASCULINO,PARDA,SERRA,COSTA DOURADA,VIA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,4.0,SEX,False,22,NOITE,18_24
2025-03-08,22:32,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,40.0,1 - MASCULINO,PARDA,ITAPEMIRIM,CAMPO ACIMA,VIA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,5.0,SAB,True,22,NOITE,35_44
2025-03-08,20:59,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,48.0,1 - MASCULINO,NEGRA,VITORIA,,ESTABELECIMENTO DE SAÚDE,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,5.0,SAB,True,20,NOITE,45_54
2025-03-08,12:50,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,29.0,1 - MASCULINO,PARDA,SANTA MARIA DE JETIBA,ZONA RURAL,DOMICÍLIO,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,5.0,SAB,True,12,TARDE,25_34
2025-03-08,00:19,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,19.0,1 - MASCULINO,NEGRA,FUNDAO,CAMPESTRE,VIA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,5.0,SAB,True,0,MADRUGADA,18_24
2025-03-09,22:07,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,14.0,1 - MASCULINO,PARDA,VITORIA,GRANDE VITORIA,VIA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,6.0,DOM,True,22,NOITE,0_14
2025-03-09,22:00,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,23.0,1 - MASCULINO,NEGRA,ITAGUACU,SANTA FE,VIA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,6.0,DOM,True,22,NOITE,18_24
2025-03-10,07:28,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,49.0,1 - MASCULINO,PARDA,ITAPEMIRIM,GOMES,VIA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,0.0,SEG,False,7,MANHA,45_54
2025-03-11,09:53,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,20.0,1 - MASCULINO,PARDA,LINHARES,INTERLAGOS,VIA PÚBLICA,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,1.0,TER,False,9,MANHA,18_24
2025-03-11,03:57,CRIMES CONTRA A PESSOA,FEMINICÍDIO,ES,25.0,2 - FEMININO,PARDA,VILA VELHA,GLORIA,ESTABELECIMENTO COMERCIAL,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,1.0,TER,False,3,MADRUGADA,25_34
2025-03-11,00:41,CRIMES CONTRA A PESSOA,HOMICÍDIO DOLOSO,ES,47.0,1 - MASCULINO,PARDA,COLATINA,BELA VISTA,DOMICÍLIO,homicidios,violencia_social,2025.0,3.0,MAR,2025-03-01,1.0,TER,False,0,MADRUGADA,45_54
