fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,2 - FEMININO,PARDA,46.0,45_54,DOMINGOS MARTINS,SOIDO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,29.0,25_34,CARIACICA,SOTELANDIA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,33.0,25_34,GUARAPARI,SAO GABRIEL,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,20.0,18_24,VILA VELHA,JABURUNA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,21.0,18_24,GUARAPARI,PATURA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,20.0,18_24,VITORIA,SANTO ANTONIO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,34.0,25_34,CARIACICA,VILA PRUDENCIO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,46.0,45_54,CONCEICAO DO CASTELO,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,25.0,25_34,SOORETAMA,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,25.0,25_34,SOORETAMA,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,17.0,15_17,SAO MATEUS,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,32.0,25_34,VIANA,PEDRA MULATA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,17.0,15_17,SERRA,VILA NOVA DE COALRES,,
homicidios,violencia_social,1 - MASCULINO,PARDA,19.0,18_24,VILA VELHA,DOM JOAO BATISTA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,37.0,35_44,VILA VELHA,COBILANDIA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,23.0,18_24,CARIACICA,JARDIM DE ALAH,,
homicidios,violencia_social,1 - MASCULINO,PARDA,29.0,25_34,CARIACICA,JARDIM BOTANICO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,38.0,35_44,MONTANHA,LAJEDO,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,33.0,25_34,CARIACICA,SAO FRANCISCO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,42.0,35_44,VILA VELHA,PRAIA DA COSTA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,35.0,35_44,CARIACICA,SANTO ANDRE,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,47.0,45_54,SERRA,TAQUARA,,
homicidios,violencia_social,2 - FEMININO,PARDA,31.0,25_34,PANCAS,OPERARIO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,69.0,65_PLUS,IRUPI,SANTA CLARA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,15.0,15_17,LINHARES,PLANALTO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,25.0,25_34,VILA VELHA,SAO TORQUATO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,36.0,35_44,CARIACICA,FLEXAL I,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,22.0,18_24,VILA VELHA,SANTA RITA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,17.0,15_17,SAO MATEUS,GURIRI,,
homicidios,violencia_social,1 - MASCULINO,PARDA,36.0,35_44,COLATINA,VILA LENIRA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,35.0,35_44,NOVA VENECIA,BEIRA RIO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,36.0,35_44,CARIACICA,CARIACICA SEDE,,
homicidios,violencia_social,2 - FEMININO,PARDA,18.0,18_24,GUARAPARI,"SAO JOSE,",,
homicidios,violencia_social,1 - MASCULINO,PARDA,26.0,25_34,SOORETAMA,SAYONARA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,47.0,45_54,GOVERNADOR LINDENBERG,NOVA BRASILIA,,
