_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,TIPO OBJETO,AÇÃO OBJETO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL,TIPO,MARCA,MODELO,COR VEÍCULO
17157,59080092,2025-08-09T00:00:00,02:20:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM ESTABELECIMENTO COMERCIAL,ES,ARACRUZ,AGUA BRANCA,RUA VERA PIMENTEL AMORIM,RESIDÊNCIA,S/I,SEM MARCA,BICECLATA ALTA DE MACHA,S/I
17158,59080504,2025-08-09T00:00:00,20:00:00,BICICLETA,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,GUARAPARI,RIO CLARINHO,ZONA RURAL,RESIDÊNCIA,S/I,****,*****,S/I
17159,59080504,2025-08-09T00:00:00,20:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,GUARAPARI,RIO CLARINHO,ZONA RURAL,RESIDÊNCIA,S/I,OUTROS,S/I,S/I
17160,59080729,2025-08-09T00:00:00,02:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL,ES,CACHOEIRO DE ITAPEMIRIM,AMARELO,ROD LUIS NEMER,VIA PÚBLICA,S/I,APPLE,IPHONE 13,S/I
17161,59080804,2025-08-09T00:00:00,08:38:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,LAGOA DE JACARAIPE,RUA LAGOA JUARA 1500,COMÉRCIO,S/I,MOTOROLA,MOTOG20,S/I
17162,59080839,2025-08-09T00:00:00,02:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,VILA VELHA,ITAPOA,RUA JUIZ ALEXANDRE MARTINS DE CASTRO FILHO,VIA PÚBLICA,CAMINHONETE,TOYOTA,HILUX CDSRXA4FD,CINZA
17163,59080860,2025-08-09T00:00:00,Indeterminada,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,MONTANHA,CENTRO,PC OSVALDO LOPES,VIA PÚBLICA,S/I,MONARK,BRISA ADULTO - FEMININA,S/I
17164,59081095,2025-08-09T00:00:00,10:43:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,VILA VELHA,PRAIA DA COSTA,RUA CASTELO BRANCO,VIA PÚBLICA,S/I,OGGI,HAQUER SPORT,S/I
17165,59081137,2025-08-09T00:00:00,00:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,SAO MATEUS,GURIRI,RUA MUCURICI,VIA PÚBLICA,AUTOMÓVEL,FIAT,MOBI EASY ON,BRANCO
17166,59081183,2025-08-09T00:00:00,05:30:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,JARDIM CAMPO GRANDE,RUA SERGIPE,VIA PÚBLICA,S/I,MOTOROLA,MOTO G FUSION 50,S/I
17167,59081272,2025-08-09T00:00:00,12:50:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,VILA VELHA,VALE ENCANTADO,RUA BRENDES PEREIRA DA SILVA,VIA PÚBLICA,MOTOCICLETA,HONDA,SH 150I,PRETO
17168,59083592,2025-08-09T00:00:00,14:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,CARIACICA,VILA INDEPENDENCIA,RUA DAS HORTÊNCIAS,COMÉRCIO,S/I,APPLE,IPHONE 13,S/I
17169,59084331,2025-08-09T00:00:00,17:40:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,VILA VELHA,RESIDENCIAL COQUEIRAL,AV: DOS ESTADOS,OUTRO LOCAL,AUTOMÓVEL,TOYOTA,COROLLA 2.0,PRATA
17170,59084360,2025-08-09T00:00:00,Indeterminada,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,CARIACICA,SANTA BARBARA,RUA SANTA TEREZINHA,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A43,S/I
17171,59084360,2025-08-09T00:00:00,Indeterminada,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,CARIACICA,SANTA BARBARA,RUA SANTA TEREZINHA,VIA PÚBLICA,MOTOCICLETA,YAMAHA,YS150 FAZER SED,ROXO
17172,59088088,2025-08-09T00:00:00,16:46:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM ESTABELECIMENTO COMERCIAL,ES,CASTELO,VOLTA REDONDA,SCAR ALVES RANGEL,VIA PÚBLICA,S/I,XIAOMI,REDMI NOTE,S/I
