_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,TIPO OBJETO,AÇÃO OBJETO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL,TIPO,MARCA,MODELO,COR VEÍCULO
5233,57513785,2025-11-03T00:00:00,12:06:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,SANTO ANTONIO,RUA ALVIMAR SILVA,VIA PÚBLICA,S/I,APPLE,XR ROSÈE,S/I
5234,57514391,2025-11-03T00:00:00,23:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,RUA BARAO MONJARDIM,VIA PÚBLICA,S/I,MOTOROLA,MOTO G,S/I
5235,57515965,2025-11-03T00:00:00,22:40:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,SANTA RITA,S/I,VIA PÚBLICA,S/I,MOTOROLA,MOTO E 7,S/I
5236,57516583,2025-11-03T00:00:00,09:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,BELA AURORA,RUA BELO HORIZONTE,VIA PÚBLICA,S/I,MOTOROLA,MOTO G6 PLUS,S/I
5237,57521718,2025-11-03T00:00:00,21:50:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,TERMINAL INTERMODAL DA SERRA (TIMS),S/I,TRANSP COLETIVO,S/I,OUTROS,REALME RMX3834,S/I
5238,57670749,2025-11-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VENDA NOVA DO IMIGRANTE,CENTRO,ROD BR 262,VIA PÚBLICA,S/I,APPLE,IPHONE 16 PROMAX WHITE TITANIUM 256GB,S/I
5239,57670749,2025-11-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VENDA NOVA DO IMIGRANTE,CENTRO,ROD BR 262,VIA PÚBLICA,S/I,APPLE,IPHONE 16 PRO MAX NATURAL TITANIUM 256GB,S/I
5240,57670749,2025-11-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VENDA NOVA DO IMIGRANTE,CENTRO,ROD BR 262,VIA PÚBLICA,S/I,APPLE,IPHONE 16 PLUS WHITE 256GB,S/I
5241,57670749,2025-11-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VENDA NOVA DO IMIGRANTE,CENTRO,ROD BR 262,VIA PÚBLICA,S/I,APPLE,IPHONE 15 BLUE 128GB,S/I
5242,57670749,2025-11-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VENDA NOVA DO IMIGRANTE,CENTRO,ROD BR 262,VIA PÚBLICA,S/I,APPLE,IPHONE 13 STARLIGHT 128GB,S/I
5243,57670749,2025-11-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VENDA NOVA DO IMIGRANTE,CENTRO,ROD BR 262,VIA PÚBLICA,S/I,APPLE,IPHONE 13 STARLIGHT 128GB,S/I
5244,58668874,2025-11-03T00:00:00,04:09:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,SERRA,ESTANCIA MONAZITICA,RUA RIO GRANDE DO SUL,VIA PÚBLICA,S/I,SAMSUNG,A15,S/I
5245,57455463,2025-12-03T00:00:00,04:35:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,SERRA,CASTELANDIA,AV TALMA RIBEIRO RODRIGUES,HOSPITAL,MOTOCICLETA,HONDA,XRE 300,VERMELHO
5246,57456266,2025-12-03T00:00:00,08:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,S/I,TRANSP COLETIVO,S/I,XIAOMI,REDMI NOTE 13,S/I
5247,57456575,2025-12-03T00:00:00,00:20:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,NOSSA SENHORA DA PENHA,RUA EDGAR DE SOUZA,VIA PÚBLICA,S/I,SAMSUNG,GALAXY S20 FE,S/I
5248,57456892,2025-12-03T00:00:00,12:45:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,GUACUI,ZONA RURAL,S/I,OUTRO LOCAL,S/I,aro 29,ARO 29,S/I
5249,57456898,2025-12-03T00:00:00,01:23:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,VITORIA,JARDIM CAMBURI,RUA VICTORINO CARDOSO,RESIDÊNCIA,S/I,Machine,liberty,S/I
5250,57457010,2025-12-03T00:00:00,09:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,S/I,VIA PÚBLICA,S/I,MOTOROLA,MOTOG34 5G,S/I
5251,57457123,2025-12-03T00:00:00,05:12:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VITORIA,SANTA LUCIA,RUA DR EURICO DE AGUIAR,RESIDÊNCIA,S/I,NÃO INFORMADA,55  SERIE 1 NUMERO 231413,S/I
5252,57457535,2025-12-03T00:00:00,09:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM VEÍCULO,ES,VITORIA,JARDIM DA PENHA,AV DANTE MICHELINE,VIA PÚBLICA,S/I,APPLE,IPJONE 11,S/I
5253,57457546,2025-12-03T00:00:00,09:00:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,VITORIA,JARDIM DA PENHA,AV. DANTE MICHELINI,VIA PÚBLICA,S/I,CALOI,aro 26 HTX SPORT 17,S/I
5254,57458012,2025-12-03T00:00:00,05:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,VALE DOS REIS,RUA REI DARIO,VIA PÚBLICA,S/I,MOTOROLA,MOTO G34,S/I
5255,57458060,2025-12-03T00:00:00,08:00:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,VILA VELHA,OLARIA,RUA MARIA AMALIA,VIA PÚBLICA,S/I,BIC 29T-17 21V,ULTIMATE,S/I
5256,57458407,2025-12-03T00:00:00,11:25:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM ESTABELECIMENTO COMERCIAL,ES,ANCHIETA,CENTRO,AVENIDA CARLOS LINDEMBERG,COMÉRCIO,S/I,XIAOMI,REDIMI 14C 4/128 AZUL,S/I
5257,57458605,2025-12-03T00:00:00,13:15:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR: PARTICULAR,ES,SERRA,CIVIT II,AV CIVIT,VIA PÚBLICA,AUTOMÓVEL,GM / CHEVROLET,PRISMA,PRATA
5258,57459117,2025-12-03T00:00:00,06:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,ARACRUZ,SEGATO,AV FLORESTAL,TRANSP COLETIVO,S/I,MOTOROLA,MOTO G41,S/I
5259,57459275,2025-12-03T00:00:00,09:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SERRA,BICANGA,AV MERIDIONAL,VIA PÚBLICA,S/I,OUTROS,POCO X5 5G,S/I
5260,57459431,2025-12-03T00:00:00,00:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,CARIACICA,JARDIM AMERICA,RUA GROELANDIA,VIA PÚBLICA,S/I,SAMSUNG,A 055,S/I
5261,57459431,2025-12-03T00:00:00,00:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,CARIACICA,JARDIM AMERICA,RUA GROELANDIA,VIA PÚBLICA,S/I,MOTOROLA,MOTO G 53,S/I
5262,57459431,2025-12-03T00:00:00,00:00:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO,ES,CARIACICA,JARDIM AMERICA,RUA GROELANDIA,VIA PÚBLICA,AUTOMÓVEL,TOYOTA,COROLLA GLI FLEX,PRATA
5263,57459619,2025-12-03T00:00:00,14:05:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: AUTOMOTOR,ES,CARIACICA,JARDIM AMERICA,VIA PUBLICA,VIA PÚBLICA,MOTOCICLETA,YAMAHA,LANDER XTZ250,AZUL
5264,57459758,2025-12-03T00:00:00,15:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,SANTA LUCIA,S/I,VIA PÚBLICA,S/I,XIAOMI,REDMI 10,S/I
5265,57459852,2025-12-03T00:00:00,15:00:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: AUTOMOTOR,ES,CARIACICA,VILA CAJUEIRO,ES120,VIA PÚBLICA,CAMIONETA,LAND ROVER,EVOQUE DYNAMIC 5D,PRETO
5266,57460051,2025-12-03T00:00:00,00:01:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,CARIACICA,JARDIM BOTANICO,RUA COLATINA,VIA PÚBLICA,AUTOMÓVEL,VOLKSWAGEM,GOLF,BRANCO
5267,57460178,2025-12-03T00:00:00,03:00:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: INVASÃO PROPRIEDADE ALHEIA,ES,GUARAPARI,RECANTO DA SEREIA,AV TATUI,RESIDÊNCIA,S/I,MONARK,ARO AERO 26,S/I
5268,57460230,2025-12-03T00:00:00,10:45:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,GOIABEIRAS,AV FERNANDO FERRARI,VIA PÚBLICA,S/I,MOTOROLA,MOTOEDGE 40 NEO,S/I
5269,57460553,2025-12-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,PLANALTO,S/I,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A05 128GB,S/I
5270,57462289,2025-12-03T00:00:00,18:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,VILA VELHA,SANTA INES,S/I,RODOVIA ESTADUAL,S/I,MOTOROLA,G 50,S/I
5271,57465016,2025-12-03T00:00:00,16:06:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,BARRA DO JUCU,S/I,VIA PÚBLICA,S/I,MOTOROLA,MOTO E(7) PLUS,S/I
5272,57465154,2025-12-03T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,VITORIA,GOIABEIRAS,RUA ADALFREDO WANICK,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 160 TITAN,LARANJA
5273,57465307,2025-12-03T00:00:00,10:20:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ITAPOA,S/I,VIA PÚBLICA,S/I,OUTROS,INFINIX,S/I
5274,57465446,2025-12-03T00:00:00,21:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: AUTOMOTOR,ES,CARIACICA,FLEXAL I,RODOVIA DO CONTORNO,VIA PÚBLICA,S/I,OUTROS,FOSSIBOT F01,S/I
5275,57465446,2025-12-03T00:00:00,21:00:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: AUTOMOTOR,ES,CARIACICA,FLEXAL I,RODOVIA DO CONTORNO,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 160 TITAN,VERMELHO
5276,57465676,2025-12-03T00:00:00,17:30:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,VITORIA,ENSEADA DO SUA,AV NOSSA SENHORA DOS NAVEGANTES,VIA PÚBLICA,S/I,trek,7200,S/I
5277,57465914,2025-12-03T00:00:00,19:30:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,SANTO ANTONIO,S/I,VIA PÚBLICA,S/I,XIAOMI,REDMI NOTE 12,S/I
5278,57465984,2025-12-03T00:00:00,20:45:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,DIVINO ESPIRITO SANTO,S/I,VIA PÚBLICA,S/I,MOTOROLA,MOTO G22,S/I
5279,57466123,2025-12-03T00:00:00,21:00:00,BICICLETA,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,BENTO FERREIRA,RUA CHAFIC MURAD,VIA PÚBLICA,S/I,FOXXER,ARO 29 - ABSOLUTE,S/I
5280,57466123,2025-12-03T00:00:00,21:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,BENTO FERREIRA,RUA CHAFIC MURAD,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A51,S/I
5281,57466694,2025-12-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,VILA VELHA,PAUL,S/I,VEÍCULO,S/I,SAMSUNG,GALAXY A 14,S/I
5282,57467887,2025-12-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,GOIABEIRAS,AV FERNANDO FERRARI,VIA PÚBLICA,S/I,OUTROS,C53,S/I
5283,57468309,2025-12-03T00:00:00,23:20:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR,ES,VILA VELHA,DIVINO ESPIRITO SANTO,RUA HERNANDES DE SOUZA,VIA PÚBLICA,AUTOMÓVEL,VOLKSWAGEN,GOL SPECIAL,AZUL
5284,57468349,2025-12-03T00:00:00,21:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,EXPEDITO,RUA,RESIDÊNCIA,S/I,APPLE,IPHONE 11,S/I
5285,57468683,2025-12-03T00:00:00,06:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,CARIACICA,PORTO DE SANTANA,S/I,VIA PÚBLICA,S/I,MOTOROLA,MOTO G 84,S/I
5286,57469552,2025-12-03T00:00:00,18:30:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ANTONIO FERREIRA BORGES,RUA UM,VIA PÚBLICA,S/I,APPLE,IPHONE 11 PRO,S/I
5287,57469897,2025-12-03T00:00:00,16:30:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,LINHARES,CENTRO,AVENIDA COMENDADOR RAFAEL,VIA PÚBLICA,S/I,LOTUS,Tourney azul v2,S/I
5288,57470047,2025-12-03T00:00:00,Indeterminada,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,LINHARES,MOVELAR,RUA PROJETADA 01,RESIDÊNCIA,S/I,BOXXER/W BRANCO,ARO 26,S/I
5289,57470068,2025-12-03T00:00:00,13:09:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,SERRA,MANOEL PLAZA,RUA L,VIA PÚBLICA,CICLOMOTOR,HONDA,CG 160 START,PRATA
5290,57470266,2025-12-03T00:00:00,Indeterminada,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,MARATAIZES,LAGOA FUNDA,RUA CARLOS PINHEIRO,RESIDÊNCIA,S/I,PRETA,ARO 29,S/I
5291,57474479,2025-12-03T00:00:00,18:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,JARDIM TROPICAL,RUA SANTA LUZIA,COMÉRCIO,S/I,APPLE,IPHONE 15 GREEN - 128GB,S/I
5292,57474479,2025-12-03T00:00:00,18:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,JARDIM TROPICAL,RUA SANTA LUZIA,COMÉRCIO,S/I,SAMSUNG,GALAXY A15,S/I
5293,57475873,2025-12-03T00:00:00,08:51:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,SERRA,BAIRRO DAS LARANJEIRAS,S/I,OUTRO LOCAL,S/I,MONARK,wrp,S/I
5294,57475975,2025-12-03T00:00:00,20:20:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CAMPO GRANDE,S/I,VIA PÚBLICA,S/I,APPLE,IPHONE 11,S/I
5295,57475987,2025-12-03T00:00:00,19:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,TABUAZEIRO,RUA MANOEL DA SILVA,AMBIENTE WEB,S/I,SAMSUNG,M15,S/I
5296,57478125,2025-12-03T00:00:00,17:39:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM TRANSPORTE COLETIVO,ES,CARIACICA,ITACIBA,ROD GOV JOSE HENRIQUE SETTE,OUTRO LOCAL,S/I,SAMSUNG,GALAX A12,S/I
5297,57481171,2025-12-03T00:00:00,16:20:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,SERRA,NOVA CARAPINA I,RUA RIO CASCA,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 160 FAN,VERMELHO
5298,57505475,2025-12-03T00:00:00,17:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,SERRA,JARDIM TROPICAL,RUA SANTA LUZIA,COMÉRCIO,S/I,APPLE,IPHONE 15 GREEN,S/I
5299,57522393,2025-12-03T00:00:00,07:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SERRA,ANDRE CARLONI,SAINDO DO BAIRRO,TRANSP COLETIVO,S/I,XIAOMI,REDMI 13C GLACIAR WHITE 8G RAM 256GB ROM,S/I
5300,57531376,2025-12-03T00:00:00,00:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,BARRA DE SAO FRANCISCO,BAIRRO COLINA,RUA PADRE ZACKARIAS,RESIDÊNCIA,S/I,XIAOMI,REDMI 13C CLOVER GREEN 6GB RAM 128 GB ROM,S/I
5301,57582042,2025-12-03T00:00:00,16:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VILA VELHA,SANTA INES,AV CARLOS LINDENBERG,COMÉRCIO,S/I,SAMSUNG,GALAXY A12,S/I
5302,57725598,2025-12-03T00:00:00,09:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VITORIA,CARATOIRA,AVENIDA SANTO ANTONIO,OUTRO LOCAL,S/I,SAMSUNG,SAMSUNG A11,S/I
5303,57959905,2025-12-03T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,CONCEICAO DA BARRA,OUTRO LOCAL,NÃO INFORMADO,OUTRO LOCAL,S/I,MOTOROLA,MOTO G24,S/I
5304,57463829,2025-03-13T00:00:00,00:26:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM VEÍCULO,ES,MARATAIZES,CIDADE NOVA,RUA PROJETADA,VIA PÚBLICA,S/I,APPLE,S/I,S/I
5305,57464059,2025-03-13T00:00:00,12:30:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: AUTOMOTOR,ES,CARIACICA,RIO BRANCO,VIA PUBLICA,VIA PÚBLICA,MOTOCICLETA,HONDA,NXR 160 BROS,PRETO
5306,57464286,2025-03-13T00:00:00,02:24:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: CICLOMOTOR,ES,VILA VELHA,JOCKEY DE ITAPARICA,R . ANTONIO ALMEIDA FILHO,VIA PÚBLICA,MOTOCICLETA,YAMAHA,YBR150 FACTOR ED,PRATA
5307,57464825,2025-03-13T00:00:00,02:30:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,JAGUARE,CENTRO,AVENIDA 09 DE AGOSTO,COMÉRCIO,MOTONETA,HONDA,BIZ 125 EX,BRANCO
5308,57464825,2025-03-13T00:00:00,02:30:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,JAGUARE,CENTRO,AVENIDA 09 DE AGOSTO,COMÉRCIO,MOTONETA,HONDA,BIZ 125 EX,AZUL
5309,57464987,2025-03-13T00:00:00,07:45:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,NOVA VENECIA,BONFIM,RUA M,RESIDÊNCIA,S/I,SAMSUNG,GALAXY A14,S/I
5310,57465119,2025-03-13T00:00:00,02:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,SERRA,JARDIM LIMOEIRO,ROD BR 101,VIA PÚBLICA,S/I,LG,A20,S/I
5311,57465306,2025-03-13T00:00:00,02:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,PIUMA,CEU AZUL,RUA BELA VISTA,RESIDÊNCIA,S/I,MOTOROLA,NÃO INFORMADO,S/I
