_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
470,57238702,2025-02-14T00:00:00,12:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,RUA THEÓFILO COSTA,AMBIENTE WEB
471,57238839,2025-02-14T00:00:00,15:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,ESPLANADA,S/I,RESIDÊNCIA
472,57256214,2025-02-14T00:00:00,09:26:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,OUTRO LOCAL,S/I,AMBIENTE WEB
473,57270675,2025-02-14T00:00:00,01:34:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SERRA,JARDIM LIMOEIRO,S/I,AMBIENTE WEB
474,57280221,2025-02-14T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CACHOEIRO DE ITAPEMIRIM,CENTRO,S/I,REPARTICAO PUBLICA
475,58298398,2025-02-14T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,PINHEIROS,OUTRO LOCAL,S/I,OUTRO LOCAL
476,57238561,2025-02-15T00:00:00,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,RUA PASCHOAL DELMAESTRO,AMBIENTE WEB
477,57240371,2025-02-15T00:00:00,06:47:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,JARDIM AMERICA,RUA VENEZUELA,AMBIENTE WEB
478,57240395,2025-02-15T00:00:00,09:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,BANDEIRANTES,CASA DE 2 ANDARES,OUTRO LOCAL
479,57240412,2025-02-15T00:00:00,13:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,BANDEIRANTES,S/I,AMBIENTE WEB
480,57265732,2025-02-15T00:00:00,18:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,CARIACICA,RIO MARINHO,RUA TRES,OUTRO LOCAL
481,57235885,2025-02-16T00:00:00,22:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,SANTO ANTONIO,RUA GONCALVES DIAS,AMBIENTE WEB
482,57237470,2025-02-16T00:00:00,23:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM DA PENHA,S/I,AMBIENTE WEB
483,57237984,2025-02-16T00:00:00,10:54:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,MARIA DAS GRACAS,AVENIDA BRASIL,AMBIENTE WEB
484,57241883,2025-02-16T00:00:00,Indeterminada,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,SAO MATEUS,OUTRO LOCAL,S/I,AMBIENTE WEB
485,57239225,2025-02-17T00:00:00,10:30:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,OUTRO LOCAL,S/I,OUTRO LOCAL
486,57241069,2025-02-17T00:00:00,10:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,BENTO FERREIRA,RUA CHAFIC MURAD,AMBIENTE WEB
487,57242007,2025-02-17T00:00:00,14:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,CENTRO,S/I,AMBIENTE WEB
488,57245306,2025-02-17T00:00:00,09:39:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,PADRE JOSE DE ANCHIETA,RUA HERMAN BELO,AMBIENTE WEB
489,57245310,2025-02-17T00:00:00,18:14:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,COLATINA,MARIA ISMENIA,RUA ALEGRE,OUTRO LOCAL
490,57247036,2025-02-17T00:00:00,12:00:00,CRIMES DIVERSOS,CRIMES DIVERSOS: CRIMES INFORMÁTICOS,ES,VITORIA,JARDIM CAMBURI,S/I,AMBIENTE WEB
