_id,Nº OCORRENCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,IDADE,GENERO,COR,MUNICIPIO,BAIRRO,LOGRADOURO,TIPO LOCAL
140,57338020,2025-02-27T00:00:00,20:34,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Parda,MUCURICI,AGUA BOA,RUA NÃO CADASTRADA,Via Pública
141,57338020,2025-02-27T00:00:00,20:34,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,17,1 - Masculino,Parda,MUCURICI,AGUA BOA,RUA NÃO CADASTRADA,Via Pública
142,57337865,2025-02-27T00:00:00,20:25,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,VILA VELHA,JOAO GOULART,RUA NÃO CADASTRADA,Via Pública
143,57332748,2025-02-27T00:00:00,11:49,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,39,1 - Masculino,Parda,SERRA,NOVA ALMEIDA,RUA NÃO CADASTRADA,Via Pública
144,57340765,2025-02-28T00:00:00,08:25,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,27,1 - Masculino,Parda,VILA VELHA,NORMILIA DA CUNHA,RUA RIO DE JANEIRO,Via Pública
145,57340663,2025-02-28T00:00:00,07:54,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,37,2 - Feminino,Parda,BARRA DE SAO FRANCISCO,ZONA RURAL,ROD ES 320,Via Pública
146,57340494,2025-02-28T00:00:00,07:34,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,48,1 - Masculino,Branca,VILA VELHA,ARAÇAS,RUA NÃO CADASTRADA,Praça / Parques / Área Pública
147,57340424,2025-02-28T00:00:00,07:10,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,15,1 - Masculino,Negra,VILA VELHA,ULISSES GUIMARAES,RUA RAUL SEIXAS,Via Pública
148,57340106,2025-02-28T00:00:00,05:32,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,31,1 - Masculino,Parda,COLATINA,BENJAMIM CARLOS DOS SANTOS,AV DAS NAÇÕES,Via Pública
149,57355367,2025-01-03T00:00:00,16:42,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,77,2 - Feminino,Branca,VILA VELHA,ITAPOA,AV ANTONIO GIL VELOSO,Domicílio
150,57350847,2025-01-03T00:00:00,06:33,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,18,1 - Masculino,Negra,VILA VELHA,COBI DE BAIXO,RUA NÃO CADASTRADA,Terreno Baldio / Construção / Mata
151,57367649,2025-02-03T00:00:00,20:47,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES, ,1 - Masculino,Parda,SOORETAMA,SALVADOR,RUA ESMERALDINA SIMPLICIO,Via Pública
152,57358044,2025-02-03T00:00:00,10:56,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,18,1 - Masculino,Parda,CARIACICA,NOVA ROSA DA PENHA,RUA VINTE E TRES,Domicílio
153,57361373,2025-02-03T00:00:00,07:55,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Branca,AFONSO CLAUDIO,SAO FRANCISCO,RUA NÃO CADASTRADA,Domicílio
154,57371665,2025-03-03T00:00:00,09:54,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,16,1 - Masculino,Parda,SAO MATEUS,GURIRI,ESTRADA DE BARRA NOVA,Terreno Baldio / Construção / Mata
155,57379869,2025-04-03T00:00:00,07:12,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,22,1 - Masculino,Parda,VILA VELHA,SAO TORQUATO,RUA LEPOLDINA,Via Pública
156,57378554,2025-04-03T00:00:00,00:10,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Parda,VITORIA,MARIO CYPRESTE,AV DARIO LOURENÇO DE SOUZA,Praça / Parques / Área Pública
157,57416461,2025-07-03T00:00:00,22:25,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,22,1 - Masculino,Parda,SERRA,COSTA DOURADA,RUA NÃO CADASTRADA,Via Pública
158,57426124,2025-08-03T00:00:00,22:32,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,40,1 - Masculino,Parda,ITAPEMIRIM,CAMPO ACIMA,RUA NÃO CADASTRADA,Via Pública
159,57424010,2025-08-03T00:00:00,20:59,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,48,1 - Masculino,Negra,VITORIA, ,RUA NÃO CADASTRADA,Estabelecimento de Saúde
160,57420021,2025-08-03T00:00:00,12:50,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,29,1 - Masculino,Parda,SANTA MARIA DE JETIBA,ZONA RURAL,RUA NÃO CADASTRADA,Domicílio
161,57417390,2025-08-03T00:00:00,00:19,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Negra,FUNDAO,CAMPESTRE,RUA FLORESTA,Via Pública
162,57434898,2025-09-03T00:00:00,22:07,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,14,1 - Masculino,Parda,VITORIA,GRANDE VITORIA,RUA DA PRAINHA,Via Pública
163,57434394,2025-09-03T00:00:00,22:00,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,1 - Masculino,Negra,ITAGUACU,SANTA FE,AV HENRIQUE FRIZERA,Via Pública
164,57436669,2025-10-03T00:00:00,07:28,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,49,1 - Masculino,Parda,ITAPEMIRIM,GOMES,RUA NÃO CADASTRADA,Via Pública
165,57327808,2025-11-03T00:00:00,09:53,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Parda,LINHARES,INTERLAGOS,AV CLAUDIO MANOEL DA COSTA,Via Pública
166,57441952,2025-11-03T00:00:00,03:57,CRIMES CONTRA A PESSOA,Feminicídio,ES,25,2 - Feminino,Parda,VILA VELHA,GLORIA,RUA SANTA ROSA,Estabelecimento Comercial
167,57445408,2025-11-03T00:00:00,00:41,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,47,1 - Masculino,Parda,COLATINA,BELA VISTA,RUA JORCELINO FERREIRA,Domicílio
168,57456032,2025-12-03T00:00:00,15:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,1 - Masculino,Parda,SERRA,VISTA DA SERRA I,RUA MIMOSO DO SUL,Domicílio
