_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
12154,57688233,2025-02-04T00:00:00,18:46:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CACHOEIRO DE ITAPEMIRIM,OUTRO LOCAL,RUA DEPUTADO RAIMUNDO DE ANDRADE,AMBIENTE WEB
12155,57690410,2025-02-04T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CARIACICA,BANDEIRANTES,RUA MARECHAL FLORIANO,AMBIENTE WEB
12156,57703417,2025-02-04T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,GUARANHUNS,RUA DR GENEBALDO ROSAS,AMBIENTE WEB
12157,57704084,2025-02-04T00:00:00,15:09:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,PEDRO CANARIO,CENTRO,RUA SAO GABRIEL,RESIDÊNCIA
12158,57704555,2025-02-04T00:00:00,10:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,COLINA DE LARANJEIRAS,MONTE GOLBOA,RESIDÊNCIA
12159,57704854,2025-02-04T00:00:00,10:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,PRAIA DO CANTO,AV SATURNINO DE BRITO,AMBIENTE WEB
12160,57705010,2025-02-04T00:00:00,18:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,BARRO VERMELHO,AV NOSSA SENHORA DA PENHA,AMBIENTE WEB
12161,57705222,2025-02-04T00:00:00,16:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,PRAIA DE ITAPARICA,RODOVIA DO SOL,OUTRO LOCAL
12162,57705272,2025-02-04T00:00:00,15:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,SANTA LUCIA,"AV. NOSSA SENHORA DA PENHA , VITÓRIA, ES,",AMBIENTE WEB
12163,57705329,2025-02-04T00:00:00,17:39:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,PRAIA DO CANTO,PRAÇA SAN MARTIN,OUTRO LOCAL
12164,57705415,2025-02-04T00:00:00,15:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,RESISTENCIA,JOCA PEREIRA DOS SANTOS,OUTRO LOCAL
12165,57705467,2025-02-04T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,ALTO RIO NOVO,MONTE CARMELO,ZONA RURAL,AMBIENTE WEB
12166,57705522,2025-02-04T00:00:00,15:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,JERONIMO MONTEIRO,CENTRO,RUA JERONIMO MOREIRA,AMBIENTE WEB
12167,57706764,2025-02-04T00:00:00,14:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,GUARAPARI,IPIRANGA,AV PADRE JOSE DE ANCHIETA,AMBIENTE WEB
12168,57707290,2025-02-04T00:00:00,09:55:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SANTA LEOPOLDINA,OLARIA,RUA REGINALDO TERRA,AMBIENTE WEB
12169,57707303,2025-02-04T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,DO QUADRO,RUA MANOEL ROZINDO DA SILVA,AMBIENTE WEB
12170,57707320,2025-02-04T00:00:00,11:37:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,NOVA VENECIA,CEDROLANDIA,CÓRREGO GUARANI,OUTRO LOCAL
